run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR1972972,SAMN03254299,G6103.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,17557372;17817872,92415808,457504,G6103.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/002/SRR1972972/SRR1972972_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/002/SRR1972972/SRR1972972_2.fastq.gz']","18 MB, 18 MB files; 0.5 million reads; 92.4 million sequenced bases"
SRR1972974,SAMN03253744,W218.0,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,405540381;342433472,1019759024,5048312,W218.0.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR1972974/SRR1972974_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR1972974/SRR1972974_2.fastq.gz']","406 MB, 342 MB files; 5.0 million reads; 1019.8 million sequenced bases"
SRR1972975,SAMN03253745,W219.0,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,196077701;172644077,546366570,2704785,W219.0.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/005/SRR1972975/SRR1972975_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/005/SRR1972975/SRR1972975_2.fastq.gz']","196 MB, 173 MB files; 2.7 million reads; 546.4 million sequenced bases"
SRR1553421,SAMN02951955,EM104,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,19517324;20042056,57393048,284124,EM104_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553421/SRR1553421_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553421/SRR1553421_2.fastq.gz']","20 MB, 20 MB files; 0.3 million reads; 57.4 million sequenced bases"
SRR1553422,SAMN02951955,EM104,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,29555626;31210876,93631646,463523,EM104.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR1553422/SRR1553422_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR1553422/SRR1553422_2.fastq.gz']","30 MB, 31 MB files; 0.5 million reads; 93.6 million sequenced bases"
SRR1553429,SAMN02951959,EM112,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,97192130;102451475,315363814,1561207,EM112_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553429/SRR1553429_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553429/SRR1553429_2.fastq.gz']","97 MB, 102 MB files; 1.6 million reads; 315.4 million sequenced bases"
SRR1553430,SAMN02951959,EM112,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,119206170;137380514,368527992,1824396,EM112.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553430/SRR1553430_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553430/SRR1553430_2.fastq.gz']","119 MB, 137 MB files; 1.8 million reads; 368.5 million sequenced bases"
SRR1553433,SAMN02951961,EM115,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,32312459;32636419,100531966,497683,EM115_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553433/SRR1553433_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553433/SRR1553433_2.fastq.gz']","32 MB, 33 MB files; 0.5 million reads; 100.5 million sequenced bases"
SRR1553434,SAMN02951961,EM115,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,41971399;41392287,123526434,611517,EM115.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553434/SRR1553434_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553434/SRR1553434_2.fastq.gz']","42 MB, 41 MB files; 0.6 million reads; 123.5 million sequenced bases"
SRR1553435,SAMN02951962,EM119,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,39321391;42014101,124163138,614669,EM119_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR1553435/SRR1553435_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR1553435/SRR1553435_2.fastq.gz']","39 MB, 42 MB files; 0.6 million reads; 124.2 million sequenced bases"
