name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000100284.20,ENSG00000100284,186.7,129.3,57.3,0.446,-1.2,3.5e-09,0.0e+00,0,0,131,129,128,58,54,60
ENSG00000128159.11,ENSG00000128159,492.3,309.7,182.7,0.592,-0.8,4.7e-09,0.0e+00,0,0,326,311,292,188,181,179
ENSG00000182944.17,ENSG00000182944,1113.7,424.7,689,1.623,0.7,5.5e-09,0.0e+00,0,0,455,380,439,628,708,731
ENSG00000183307.3,ENSG00000183307,45.3,40.3,5,0.128,-3,5.6e-09,0.0e+00,0,0,35,49,37,6,5,4
ENSG00000100368.13,ENSG00000100368,40.3,3.7,36.7,9.704,3.3,5.8e-09,0.0e+00,0,0,3,3,5,34,41,35
ENSG00000100023.17,ENSG00000100023,273,87,186,2.155,1.1,5.9e-09,0.0e+00,0,0,91,80,90,182,165,211
ENSG00000100003.17,ENSG00000100003,87,67.3,19.7,0.292,-1.8,6.3e-09,0.0e+00,0,0,60,69,73,19,18,22
ENSG00000138944.7,ENSG00000138944,324.7,210.3,114.3,0.539,-0.9,6.9e-09,0.0e+00,0,0,195,221,215,109,117,117
ENSG00000196236.12,ENSG00000196236,157.3,45.7,111.7,2.405,1.3,8.3e-09,0.0e+00,0,0,41,48,48,105,118,112
ENSG00000159873.9,ENSG00000159873,252.7,80.3,172.3,2.148,1.1,8.8e-09,0.0e+00,0,0,90,81,70,178,186,153
ENSG00000205704.6,ENSG00000205704,27,26.3,0.7,0.027,-5.2,9.2e-09,0.0e+00,0,0,37,16,26,0,1,1
ENSG00000100038.19,ENSG00000100038,202,57.3,144.7,2.483,1.3,1.3e-08,0.0e+00,0,0,51,56,65,122,166,146
ENSG00000128191.13,ENSG00000128191,281.7,95.7,186,1.944,1,1.3e-08,0.0e+00,0,0,99,104,84,183,178,197
ENSG00000170638.9,ENSG00000170638,114.7,30.3,84.3,2.752,1.5,1.4e-08,0.0e+00,0,0,32,32,27,79,89,85
ENSG00000100314.3,ENSG00000100314,32.7,30.7,2,0.078,-3.7,1.4e-08,0.0e+00,0,0,28,28,36,1,1,4
ENSG00000128165.8,ENSG00000128165,23.3,0.7,22.7,24.196,4.6,2.6e-08,0.0e+00,0,0,0,1,1,19,22,27
ENSG00000197182.12,ENSG00000197182,153.3,110,43.3,0.383,-1.4,2.8e-08,0.0e+00,0,0,98,133,99,38,51,41
ENSG00000100060.17,ENSG00000100060,47.7,5.7,42,7.059,2.8,3.0e-08,0.0e+00,0,0,5,5,7,52,31,43
ENSG00000093000.18,ENSG00000093000,464.3,176.3,288,1.625,0.7,3.2e-08,0.0e+00,0,0,171,176,182,277,306,281
ENSG00000234965.2,ENSG00000234965,32.7,31.7,1,0.031,-5,3.6e-08,0.0e+00,0,0,43,34,18,0,0,3
ENSG00000183963.18,ENSG00000183963,154.7,45.3,109.3,2.401,1.3,4.3e-08,0.0e+00,0,0,47,45,44,100,100,128
ENSG00000100325.14,ENSG00000100325,145.3,44.3,101,2.286,1.2,4.9e-08,0.0e+00,0,0,43,44,46,96,95,112
ENSG00000100292.16,ENSG00000100292,78.3,17.7,60.7,3.402,1.8,5.5e-08,0.0e+00,0,0,17,20,16,56,54,72
ENSG00000253352.8,ENSG00000253352,715.7,286.7,429,1.499,0.6,6.0e-08,0.0e+00,0,0,290,277,293,450,437,400
ENSG00000183785.14,ENSG00000183785,22.7,21.7,1,0.057,-4.1,7.1e-08,0.0e+00,0,0,21,22,22,1,2,0
